iter	Passed	Remaining
221	976	1661
222	979	1656
223	983	1650
224	987	1645
225	991	1640
226	995	1635
227	999	1630
228	1004	1628
229	1009	1623
230	1014	1619
231	1018	1616
232	1022	1611
233	1026	1605
234	1030	1600
235	1034	1595
236	1038	1590
237	1042	1586
238	1047	1581
239	1052	1578
240	1056	1573
241	1060	1568
242	1064	1563
243	1069	1560
244	1073	1555
245	1077	1549
246	1081	1545
247	1085	1540
248	1089	1535
249	1093	1531
250	1098	1526
251	1103	1524
252	1110	1523
253	1116	1521
254	1121	1516
255	1124	1511
256	1129	1507
257	1134	1503
258	1138	1498
259	1142	1494
260	1147	1490
261	1151	1485
262	1155	1481
263	1160	1476
264	1164	1472
265	1168	1467
266	1172	1461
267	1175	1456
268	1181	1454
269	1185	1449
270	1189	1444
271	1193	1439
272	1197	1434
273	1201	1429
274	1205	1424
275	1208	1418
276	1213	1415
277	1217	1409
278	1221	1404
279	1224	1399
280	1229	1395
281	1233	1390
282	1237	1385
283	1240	1380
284	1244	1375
285	1248	1370
286	1252	1366
287	1256	1361
288	1261	1357
289	1265	1352
290	1268	1347
291	1272	1342
292	1277	1338
293	1280	1333
294	1284	1328
295	1288	1323
296	1292	1318
297	1296	1313
298	1300	1308
299	1304	1304
300	1310	1301
301	1314	1297
302	1318	1292
303	1321	1286
304	1326	1282
305	1329	1277
306	1333	1272
307	1337	1267
308	1341	1263
309	1345	1258
310	1349	1253
311	1352	1248
312	1356	1243
313	1360	1239
314	1363	1234
315	1367	1229
316	1371	1224
317	1375	1219
318	1379	1214
319	1382	1209
320	1385	1204
321	1389	1199
322	1393	1195
323	1396	1190
324	1400	1185
325	1403	1179
326	1408	1175
327	1412	1171
328	1416	1166
329	1419	1161
330	1424	1157
331	1428	1152
332	1432	1148
333	1435	1143
334	1439	1139
335	1443	1134
336	1447	1129
337	1450	1124
338	1456	1121
339	1460	1116
340	1464	1112
341	1467	1107
342	1472	1103
343	1476	1098
344	1480	1094
345	1483	1089
346	1487	1084
347	1491	1080
348	1496	1076
349	1501	1072
350	1506	1068
351	1509	1063
352	1513	1059
353	1517	1054
354	1523	1051
355	1527	1046
356	1530	1041
357	1534	1037
358	1538	1032
359	1542	1028
360	1546	1023
361	1549	1018
362	1554	1015
363	1558	1010
364	1561	1005
365	1565	1000
366	1570	997
367	1574	992
368	1577	987
369	1581	983
370	1585	978
371	1589	974
372	1592	969
373	1596	964
374	1600	960
375	1604	955
376	1608	951
377	1611	946
378	1615	941
379	1619	937
380	1622	932
381	1626	928
382	1629	923
383	1633	919
384	1637	914
385	1641	909
386	1644	905
387	1648	900
388	1652	896
389	1656	891
390	1659	887
391	1663	882
392	1667	878
393	1670	873
394	1674	868
395	1677	864
396	1681	859
397	1685	855
398	1688	850
399	1692	846
400	1695	841
401	1699	837
402	1703	832
403	1706	828
404	1710	823
405	1714	819
406	1719	815
407	1722	810
408	1726	806
409	1730	801
410	1733	797
411	1737	792
412	1741	788
413	1744	783
414	1749	779
415	1752	775
416	1756	770
417	1760	766
418	1764	762
419	1768	757
420	1771	753
421	1775	748
422	1779	744
423	1783	740
424	1786	735
425	1790	731
426	1795	727
427	1798	722
428	1802	718
429	1807	714
430	1812	710
431	1816	706
432	1820	701
433	1824	697
434	1829	694
435	1833	689
436	1869	697
437	1883	696
438	1887	692
439	1900	690
440	1904	686
441	1908	682
442	1912	677
443	1916	673
444	1919	668
445	1923	664
446	1928	660
447	1932	655
448	1936	651
449	1940	646
450	1944	642
451	1948	637
452	1951	633
453	1955	628
454	1960	624
455	1963	620
456	1967	615
457	1971	611
458	1975	606
459	1979	602
460	1982	597
461	1986	593
462	1989	588
463	1993	584
464	1997	579
465	2000	575
466	2004	570
467	2008	566
468	2012	562
469	2016	557
470	2019	553
471	2023	548
472	2027	544
473	2032	540
474	2035	535
475	2041	531
476	2045	527
477	2049	523
478	2053	518
479	2058	514
480	2062	510
481	2066	505
482	2069	501
483	2074	497
484	2078	492
485	2082	488
486	2085	484
487	2090	479
488	2095	475
489	2098	471
490	2102	466
491	2107	462
492	2111	458
493	2114	453
494	2119	449
495	2123	445
496	2128	441
497	2131	436
498	2136	432
499	2140	428
500	2143	423
501	2147	419
502	2151	414
503	2156	410
504	2160	406
505	2164	402
506	2168	397
507	2172	393
508	2176	389
509	2180	384
510	2184	380
511	2189	376
512	2193	371
513	2197	367
514	2203	363
515	2208	359
516	2212	355
517	2217	351
518	2222	346
519	2225	342
520	2229	338
521	2233	333
522	2237	329
523	2240	325
524	2244	320
525	2247	316
526	2252	312
527	2256	307
528	2259	303
529	2263	298
530	2268	294
531	2271	290
532	2276	286
533	2279	281
534	2284	277
535	2287	273
536	2291	268
537	2294	264
538	2298	260
539	2302	255
540	2306	251
541	2309	247
542	2314	242
543	2318	238
544	2322	234
545	2326	230
546	2329	225
547	2334	221
548	2338	217
549	2341	212
550	2345	208
551	2349	204
552	2353	200
553	2356	195
554	2360	191
555	2366	187
556	2370	182
557	2374	178
558	2378	174
559	2383	170
560	2387	165
561	2390	161
562	2395	157
563	2400	153
564	2403	148
565	2408	144
566	2412	140
567	2417	136
568	2420	131
569	2424	127
570	2429	123
571	2433	119
572	2437	114
573	2441	110
574	2445	106
575	2450	102
576	2454	97
577	2457	93
578	2462	89
579	2466	85
580	2469	80
581	2473	76
582	2477	72
583	2482	68
584	2486	63
585	2490	59
586	2494	55
587	2498	50
588	2502	46
589	2505	42
590	2510	38
591	2515	33
592	2519	29
593	2522	25
594	2527	21
595	2531	16
596	2535	12
597	2539	8
598	2543	4
599	2547	0
