iter	Logloss
0	0.4268969727
1	0.3006039429
2	0.1957588959
3	0.131425827
4	0.1071561127
5	0.08082978058
6	0.06063518524
7	0.05233202362
8	0.04181481934
9	0.03484593964
10	0.02952386093
11	0.02598619461
12	0.02314374161
13	0.02069581795
14	0.01901807785
15	0.01792694473
16	0.01641212845
17	0.01565741158
18	0.01492355347
19	0.01435854435
20	0.01348971558
21	0.0128420229
22	0.01217167282
23	0.01191162491
24	0.01140858841
25	0.01097890854
26	0.01057857227
27	0.01036164188
28	0.01015029049
29	0.009934999466
30	0.009599220276
31	0.009456020355
32	0.009328661919
33	0.009178501129
34	0.008998737335
35	0.008898359299
36	0.008665407181
37	0.008445457458
38	0.008268644333
39	0.00805979538
40	0.007929675102
41	0.007829235077
42	0.007694511414
43	0.007586371899
44	0.007465232849
45	0.007312627792
46	0.007280092239
47	0.007244385719
48	0.007055259705
49	0.00693473196
50	0.006785878181
51	0.006697515488
52	0.006562194824
53	0.006490929127
54	0.006368087769
55	0.006271882057
56	0.006166497231
57	0.006100702286
58	0.006075070381
59	0.006017251968
60	0.005988456249
61	0.005946704865
62	0.00586934185
63	0.005763783932
64	0.005715729237
65	0.005673536777
66	0.00557513237
67	0.005477187634
68	0.005435381889
69	0.005376580238
70	0.00525465107
71	0.005173235416
72	0.005132021904
73	0.005008377075
74	0.004951428413
75	0.004830201149
76	0.004776765823
77	0.004748355865
78	0.004645130157
79	0.004595626354
80	0.004531067848
81	0.0045096035
82	0.004484435081
83	0.004415028572
84	0.004333950043
85	0.004323215008
86	0.004307401657
87	0.004222837448
88	0.004126948833
89	0.004039865971
90	0.004028811932
91	0.003985379457
92	0.003967157125
93	0.003884037971
94	0.003827204704
95	0.003779626608
96	0.003733055592
97	0.0036775527
98	0.003668525219
99	0.003661162853
100	0.003633241892
101	0.00357693553
102	0.003560072899
103	0.003543411255
104	0.003498274326
105	0.003498227358
106	0.003489685774
107	0.003442399502
108	0.003425646305
109	0.003385789394
110	0.003347053528
111	0.003293125153
112	0.003249354362
113	0.003240955353
114	0.003236796618
115	0.003219473839
116	0.003211174965
117	0.003157809734
118	0.003124202251
119	0.003088350296
120	0.003076588154
121	0.003059602261
122	0.0030417068
123	0.003029517174
124	0.003012901306
125	0.002972763538
126	0.002947511435
127	0.002918700457
128	0.002913785458
129	0.002910873652
130	0.002907915592
131	0.002865259886
132	0.002849889994
133	0.002821772575
134	0.002813623428
135	0.00280715704
136	0.002794581175
137	0.002767435074
138	0.002742998362
139	0.002736320972
140	0.002703813076
141	0.002697990656
142	0.00269797349
143	0.002664969921
144	0.002664956093
145	0.002630653858
146	0.002630653858
147	0.002630647659
148	0.002630636692
149	0.002630612373
150	0.002630601406
151	0.002630604267
152	0.002630598545
153	0.002630588055
154	0.002630588531
155	0.00263055563
156	0.002630550861
157	0.002630551815
158	0.002630541086
159	0.002630536556
160	0.002630526066
161	0.002630533695
162	0.002630530357
163	0.002630529404
164	0.002630524874
165	0.002630522966
166	0.00263052845
167	0.002630503416
168	0.002630476475
169	0.002630476475
170	0.002630476475
171	0.002630473852
172	0.002630465508
173	0.002630458593
174	0.002630455494
175	0.002630447865
176	0.002630443573
177	0.002630439281
178	0.002630417824
179	0.002630413055
180	0.002630397081
181	0.002630391598
182	0.002630386829
183	0.002630383015
184	0.002630381107
185	0.00263036418
186	0.00263036108
187	0.002630342007
188	0.002630341291
189	0.002630338192
190	0.002630327225
191	0.002630326271
192	0.002630328178
193	0.002630315781
194	0.002630318642
195	0.002630312681
196	0.002630312681
197	0.00263028574
198	0.002630268335
199	0.002630259037
200	0.002630248547
201	0.002630250931
202	0.002630243778
203	0.002630243301
204	0.002630233049
205	0.002630234241
206	0.002586360455
207	0.002546441078
208	0.002546299934
209	0.002546282291
210	0.002544736385
211	0.002544725895
212	0.002544700146
213	0.002544700861
214	0.002544698238
215	0.002544698954
216	0.002544698238
217	0.002544689894
218	0.002544681072
219	0.002544682264
220	0.002544680357
221	0.002544676304
222	0.00254467845
223	0.002544682503
224	0.002544676781
225	0.002544678211
226	0.002541996956
227	0.002532049656
228	0.00251568222
229	0.00251566577
230	0.002515655994
231	0.002515524864
232	0.002515521526
233	0.002515510082
234	0.00251549077
235	0.002515474796
236	0.002515388727
237	0.002515368462
238	0.002515342712
239	0.002515240669
240	0.0025152421
241	0.002515136719
242	0.002515022039
243	0.002515019417
244	0.002514993429
245	0.00251497364
246	0.002514965296
247	0.002514962196
248	0.00251494503
249	0.002514948845
250	0.002514468193
251	0.00251444006
252	0.002514422417
253	0.002514342785
254	0.002512463331
255	0.002512331009
256	0.002506135464
257	0.002504105806
258	0.002504024029
259	0.002465568066
260	0.002439776659
261	0.002434967995
262	0.00241215086
263	0.002378309965
264	0.002354792595
265	0.002344040632
266	0.002344026089
267	0.002340251207
268	0.002330656528
269	0.002314470053
270	0.002286626339
271	0.002286618233
272	0.002286616325
273	0.002286607742
274	0.002286607981
275	0.002286574125
276	0.002286565542
277	0.002286453247
278	0.002286456108
279	0.0022864604
280	0.00228644228
281	0.002286400795
282	0.002286404371
283	0.002286391497
284	0.002286284447
285	0.00228617382
286	0.002284368038
287	0.002284292936
288	0.002284281254
289	0.002284255981
290	0.002284257174
291	0.002284239531
292	0.002284137726
293	0.002284066677
294	0.002284036636
295	0.002283926964
296	0.002283914089
297	0.002283812046
298	0.002282096386
299	0.002278703451
300	0.00227869463
301	0.00227868557
302	0.002278675318
303	0.002278278828
304	0.002278204441
305	0.002277045727
306	0.00227590847
307	0.002268870354
308	0.002266505718
309	0.002232051134
310	0.00223200798
311	0.002232004166
312	0.002232010603
313	0.002232007504
314	0.002232002258
315	0.002232001543
316	0.002231990814
317	0.0022319839
318	0.002231977224
319	0.002231977224
320	0.002231977224
321	0.002231977224
322	0.002231977224
323	0.002231977224
324	0.002231977224
325	0.002231977224
326	0.002231977224
327	0.002231977224
328	0.002231977224
329	0.002231977224
330	0.002231977224
